organization,contact,title,email,vertical,notes
PHOEBE BERKS HEALTH CARE CENTER INC,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Wernersville, PA; annual revenue $35,878,100; source LMS score 64/100."
ESPERANZA ACADEMY CHARTER SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $35,716,066; source LMS score 64/100."
BRICKLAYERS & ALLIED CRAFTWORKERS LOCAL 1 PA-DE HEALTH & WELFARE FUD,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $35,415,586; source LMS score 64/100."
THE MEDICAL TRUST,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $35,289,443; source LMS score 64/100."
MATHEMATICS SCIENCE & TECHNOLOGY COMMUNITY CHARTER SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $34,460,374; source LMS score 64/100."
TRANSCELERATE BIOPHARMA INC,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Conshohocken, PA; annual revenue $34,242,546; source LMS score 64/100."
VNA HOME HEALTH SERVICES,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: York, PA; annual revenue $33,451,399; source LMS score 64/100."
WYOMING SEMINARY COLLEGE PREPARATORY SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Kingston, PA; annual revenue $32,543,696; source LMS score 64/100."
CAIRN UNIVERSITY,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Langhorne, PA; annual revenue $31,585,435; source LMS score 64/100."
PERKIOMEN SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Pennsburg, PA; annual revenue $31,325,740; source LMS score 64/100."
EASTERN ATLANTIC STATES CARPENTERS TECHNICAL COLLEGE,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $30,630,806; source LMS score 64/100."
MAST COMMUNITY CHARTER SCHOOL III,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $30,595,992; source LMS score 64/100."
SCHOOL LANE CHARTER SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Bensalem, PA; annual revenue $29,894,246; source LMS score 64/100."
PHOEBE RICHLAND HEALTH CARE CENTER,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Allentown, PA; annual revenue $29,860,285; source LMS score 64/100."
WINCHESTER-THURSTON SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Pittsburgh, PA; annual revenue $29,650,185; source LMS score 64/100."
PLUMBERS LOCAL UNION NO 690 HEALTH PLAN,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $29,593,473; source LMS score 64/100."
COMMUNITY ACADEMY OF PHILADELPHIA A PENNYLVANIA CHARTER SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $29,558,632; source LMS score 64/100."
BALDWIN SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Bryn Mawr, PA; annual revenue $29,063,713; source LMS score 64/100."
EXECUTIVE EDUCATION ACADEMY CHARTER SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Allentown, PA; annual revenue $28,617,841; source LMS score 64/100."
CRISTO REY PHILADELPHIA HIGH SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $28,551,941; source LMS score 64/100."
LANKENAU MEDICAL CENTER FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Wynnewood, PA; annual revenue $27,866,344; source LMS score 64/100."
RENAISSANCE ACADEMY CHARTER SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Phoenixville, PA; annual revenue $27,205,236; source LMS score 64/100."
JENNERS POND INC,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: West Grove, PA; annual revenue $27,108,671; source LMS score 64/100."
HERITAGE VALLEY HEALTH SYSTEM INC,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Beaver, PA; annual revenue $27,008,412; source LMS score 64/100."
THE PRESBYTERIAN FOUNDATION FOR PHILADELPHIA,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $26,601,989; source LMS score 64/100."
FRANKLINTOWN CHARTER HIGH SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $26,410,696; source LMS score 64/100."
SEWICKLEY ACADEMY,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Sewickley, PA; annual revenue $26,351,320; source LMS score 64/100."
JEFFERSON HEALTH CORPORATION,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $25,911,418; source LMS score 64/100."
ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $25,774,400; source LMS score 64/100."
ALLIED SERVICES FOUNDATION,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Clarks Summit, PA; annual revenue $25,763,705; source LMS score 64/100."
LANCASTER COUNTRY DAY SCHOOL,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Lancaster, PA; annual revenue $25,611,596; source LMS score 64/100."
WESBURY UNITED METHODIST COMMUNITY,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Meadville, PA; annual revenue $25,602,805; source LMS score 64/100."
FOUNDATION FOR INDIANA UNIVERSITY OF PENNSYLVANIA,,,,Education,"assets >$50M; revenue >$25M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Indiana, PA; annual revenue $25,494,777; source LMS score 64/100."
FAIRMOUNT HOMES,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Ephrata, PA; annual revenue $25,366,214; source LMS score 64/100."
THE COMMUNITY AT ROCKHILL,,,,Healthcare,"assets >$50M; revenue >$25M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Sellersville, PA; annual revenue $25,121,147; source LMS score 64/100."
ONCOLOGY NURSING CERTIFICATION CORPORATION,,,,Credentialing / certification,"assets >$10M; revenue >$5M; priority segment; keyword: certif. Likely motion: certification/credentialing programs; assessment/reporting. Brightspace angle: Credential prep, continuing education, certification workflows, learner records, and audit-ready reporting. Context: Pittsburgh, PA; annual revenue $7,078,077; source LMS score 64/100."
ABRAXAS ALLIANCE INC,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $112,703,949; source LMS score 62/100."
DISTRICT COUNCIL 47 HEALTH AND WELFARE FUND,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $102,018,903; source LMS score 62/100."
PENNSYLVANIA MOUNTAINS HEALTHCARE ALLIANCE MULT EMP HEALTH BNFTS TR,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Dubois, PA; annual revenue $96,027,355; source LMS score 62/100."
HEALTH FEDERATION OF PHILADELPHIA,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $65,829,365; source LMS score 62/100."
PHILADELPHIA FEDERATION OF TEACHERS HEALTH & WELFARE,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $63,843,464; source LMS score 62/100."
ALLEGHENY COUNCIL TO IMPROVE OUR NEIGHBORHOODS-HOUSING INCORPORATED,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $38,018,270; source LMS score 62/100."
FAMILY HEALTH COUNCIL OF CENTRAL PA INC,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Camp Hill, PA; annual revenue $29,233,481; source LMS score 62/100."
GREATER PHILADELPHIA COMMUNITY ALLIANCE,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $25,782,475; source LMS score 62/100."
WILLIAMSON COLLEGE OF THE TRADES,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Media, PA; annual revenue $24,826,905; source LMS score 62/100."
PHILADELPHIA TECHNICIAN TRAINING INC,,,,Workforce / training,"assets >$10M; revenue >$5M; priority segment; keyword: training. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Philadelphia, PA; annual revenue $16,847,833; source LMS score 62/100."
SERB NATIONAL FEDERATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $16,601,694; source LMS score 62/100."
NATIONAL CYBER FORENSICS AND TRAINING ALLIANCE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: training. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $10,508,898; source LMS score 62/100."
COLLEGE OF PHYSICIANS OF PHILADELPHIA,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $8,295,838; source LMS score 62/100."
WESTERN PENNSYLVANIA OPERATING ENGINEERS & JOINT APPRENTICESHIP,,,,Workforce / training,"assets >$10M; revenue >$5M; priority segment; keyword: apprentice. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: New Alexandri, PA; annual revenue $5,964,924; source LMS score 62/100."
JEWISH FEDERATION OF THE LEHIGH VALLEY,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Allentown, PA; annual revenue $5,833,053; source LMS score 62/100."
YOUTH ADVOCATE PROGRAMS INC,,,,Youth organization,"assets >$50M; revenue >$25M; adjacent education segment. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Harrisburg, PA; annual revenue $104,653,773; source LMS score 60/100."
LANCASTER EMERGENCY MEDICAL SERVICES ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lancaster, PA; annual revenue $20,834,748; source LMS score 60/100."
BRANDYWINE VALLEY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: West Chester, PA; annual revenue $18,358,542; source LMS score 60/100."
SOCIETY OF HOSPITAL MEDICINE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $17,299,608; source LMS score 60/100."
YOUNG MENS CHRISTIAN ASSOCIATION OF DELAWARE COUNTY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lansdowne, PA; annual revenue $17,251,452; source LMS score 60/100."
PENNSYLVANIA BAR ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $16,996,412; source LMS score 60/100."
PENNSYLVANIA INTERSCHOLASTIC ATHLETIC ASSOCIATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Mechanicsburg, PA; annual revenue $16,813,996; source LMS score 60/100."
ASSOCIATION FOR IRON AND STEEL TECHNOLOGY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Warrendale, PA; annual revenue $15,608,910; source LMS score 60/100."
YOUNG MENS CHRISTIAN ASSOCIATION OF ERIE PA,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Erie, PA; annual revenue $15,515,320; source LMS score 60/100."
JEWISH ASSOCIATION ON AGING,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $14,508,896; source LMS score 60/100."
PENNSYLVANIA SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $14,300,178; source LMS score 60/100."
CHRISTIAN SCHOOL ASSOCIATION OF GREATER HARRISBURG,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $14,294,854; source LMS score 60/100."
HEMLOCK FARMS COMMUNITY ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lords Valley, PA; annual revenue $14,277,316; source LMS score 60/100."
YOUNG WOMENS CHRISTIAN ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Hanover, PA; annual revenue $13,449,078; source LMS score 60/100."
SHALOM CHRISTIAN ACADEMY ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Chambersburg, PA; annual revenue $12,730,632; source LMS score 60/100."
ELK HAVEN NURSING HOME ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: St Marys, PA; annual revenue $11,799,551; source LMS score 60/100."
FRANCONIA MENNONITE CAMP ASSOCIATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Canadensis, PA; annual revenue $11,377,079; source LMS score 60/100."
SPANISH AMERICAN CIVIC ASSOCIATION FOR EQUALITY INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lancaster, PA; annual revenue $11,238,128; source LMS score 60/100."
MATERIALS RESEARCH SOCIETY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Warrendale, PA; annual revenue $10,720,989; source LMS score 60/100."
UNITED STATES SQUASH RACQUETS ASSOCIATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $10,708,475; source LMS score 60/100."
YORK COUNTY AGRICULTURAL SOCIETY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: York, PA; annual revenue $10,564,295; source LMS score 60/100."
PENNSYLVANIA SCHOOL BOARDS ASSOCIATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Mechanicsburg, PA; annual revenue $10,514,274; source LMS score 60/100."
BUTLER COUNTY FAMILY YOUNG MENS CHRISTIAN ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Butler, PA; annual revenue $10,015,297; source LMS score 60/100."
VISITING NURSE ASSOCIATION OF ERIE COUNTY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Erie, PA; annual revenue $9,945,258; source LMS score 60/100."
THE RIVER VALLEY REGIONAL YOUNG MENS CHRISTIAN ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Williamsport, PA; annual revenue $9,806,313; source LMS score 60/100."
YOUNG WOMENS CHRISTIAN ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: York, PA; annual revenue $9,776,500; source LMS score 60/100."
CIVIC LIGHT OPERA ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $9,774,850; source LMS score 60/100."
STUDENT COOPERATIVE ASSOCIATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Indiana, PA; annual revenue $9,337,143; source LMS score 60/100."
PENNSYLVANIA STATE CORRECTIONS OFFICERS ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $8,815,660; source LMS score 60/100."
MINERALS METALS & MATERIALS SOCIETY INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $8,724,464; source LMS score 60/100."
NATIONAL ASSOCIATION OF COLLEGES AND EMPLOYERS,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Bethlehem, PA; annual revenue $8,691,455; source LMS score 60/100."
YOUNG MENS CHRISTIAN ASSOCIATION OF THE SEWICKLEY VALLEY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Sewickley, PA; annual revenue $8,537,262; source LMS score 60/100."
CRISPUS ATTUCKS ASSOCIATION OF YORK PENNSYLVANIA,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: York, PA; annual revenue $8,245,020; source LMS score 60/100."
PENNSYLVANIA ASSOCIATION OF REALTORS,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lemoyne, PA; annual revenue $8,092,763; source LMS score 60/100."
NATIONAL ASSOCIATION OF WATER COMPANIES,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $7,772,276; source LMS score 60/100."
ASSOCIATION OF PENNSYLVANIA STATE COLLEGE AND UNIVERSITY FACULTIES,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $7,608,734; source LMS score 60/100."
HAWK MOUNTAIN SANCTUARY ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Kempton, PA; annual revenue $7,604,944; source LMS score 60/100."
SHEET METAL WORKERS INTERNATIONAL ASSOCIATION LOCAL UNION NO 19,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $7,557,246; source LMS score 60/100."
